node,category,title,lean_file,tex_node,primary_declaration,source,dependencies
mod:localfield-residuefield,Local-field infrastructure,Residue-field API,LanglandsFirstMainLemma/LocalField/ResidueField.lean,blueprint/src/nodes/LocalField/ResidueField.tex,LanglandsFirstMainLemma.ResidueField,Local notation; Sections Finite-field identities and The non-stable wild calculation.,mod:localfield-unitfiltration
mod:localfield-extension,Local-field infrastructure,"Trace, norm, and conjugates",LanglandsFirstMainLemma/LocalField/Extension.lean,blueprint/src/nodes/LocalField/Extension.tex,LanglandsFirstMainLemma.norm,"Local notation, subsection Norm and trace notation; Lemmas lem:wild-symmetric-bound and lem:truncated-norm-adjoint.",mod:localfield-residuefield
mod:localfield-monogenicuniformizer,Local-field infrastructure,Monogenic uniformizers,LanglandsFirstMainLemma/LocalField/MonogenicUniformizer.lean,blueprint/src/nodes/LocalField/MonogenicUniformizer.tex,LanglandsFirstMainLemma.monogenicUniformizer,The totally ramified uniformizer input used in the proof of Theorem thm:norm-filtration and in Section sec:first-main-completion.,mod:localfield-valuation;mod:localfield-lattices;mod:localfield-residuefield;mod:localfield-extension
mod:localfield-finitequotients,Local-field infrastructure,Finite quotients of lattices and units,LanglandsFirstMainLemma/LocalField/FiniteQuotients.lean,blueprint/src/nodes/LocalField/FiniteQuotients.tex,LanglandsFirstMainLemma.finiteLatticeQuotient,Definition of Delta and Lemma lem:finite-duality.,mod:localfield-unitfiltration;mod:localfield-residuefield
mod:localfield-successivelifting,Local-field infrastructure,Successive filtered lifting,LanglandsFirstMainLemma/LocalField/SuccessiveLifting.lean,blueprint/src/nodes/LocalField/SuccessiveLifting.tex,LanglandsFirstMainLemma.successiveLifting_surjective,"Proof of Theorem thm:norm-filtration, especially the complete lifting above the break.",mod:localfield-lattices;mod:localfield-unitfiltration
mod:delta-finitedefinition,Local constants,Computational local constant,LanglandsFirstMainLemma/Delta/FiniteDefinition.lean,blueprint/src/nodes/Delta/FiniteDefinition.tex,LanglandsFirstMainLemma.AdmissibleGamma,Definition of Delta and Lemma lem:gamma-independent.,mod:basic-characterconductors;mod:localfield-finitequotients;mod:basic-phase
mod:delta-integraldefinition,Local constants,Haar-integral local constant,LanglandsFirstMainLemma/Delta/IntegralDefinition.lean,blueprint/src/nodes/Delta/IntegralDefinition.tex,LanglandsFirstMainLemma.deltaIntegral,Definition of Delta.,mod:basic-charactertypes
mod:delta-integralfinitebridge,Local constants,Integral-finite bridge,LanglandsFirstMainLemma/Delta/IntegralFiniteBridge.lean,blueprint/src/nodes/Delta/IntegralFiniteBridge.tex,LanglandsFirstMainLemma.deltaIntegral_eq_deltaFinite,Definition of Delta; Lemma lem:gamma-independent; Corollary cor:local-gauss-integral-nonzero.,mod:delta-finitedefinition;mod:delta-integraldefinition
mod:delta-elementary,Local constants,Elementary identities for Delta,LanglandsFirstMainLemma/Delta/Elementary.lean,blueprint/src/nodes/Delta/Elementary.tex,LanglandsFirstMainLemma.delta_additive_scale,"Lemmas lem:additive-scale, lem:residual-normalization, lem:delta-one, lem:inverse-pair; Corollaries cor:additive-independence and cor:S-product-one.",mod:delta-finitedefinition
mod:delta-residueformula,Local constants,Residue-field formulas,LanglandsFirstMainLemma/Delta/ResidueFormula.lean,blueprint/src/nodes/Delta/ResidueFormula.tex,LanglandsFirstMainLemma.residualAddChar,Lemma lem:residual-normalization; Proposition prop:tame-conductor-one-comparison; Proposition prop:unramified-new.,mod:delta-finitedefinition;mod:delta-elementary;mod:finitefield-characterapi;mod:localfield-residuefield
mod:delta-firstmainstatement,Local constants,First Main Lemma data and statement,LanglandsFirstMainLemma/Delta/FirstMainStatement.lean,blueprint/src/nodes/Delta/FirstMainStatement.tex,LanglandsFirstMainLemma.NormCharacter,Theorem thm:first-main and equation eq:def-S.,mod:basic-charactertypes;mod:localfield-extension;mod:basic-characteristicconvention
mod:delta-nonvanishing,Local constants,Nonvanishing of local constants,LanglandsFirstMainLemma/Delta/Nonvanishing.lean,blueprint/src/nodes/Delta/Nonvanishing.tex,LanglandsFirstMainLemma.deltaFinite_ne_zero,Lemma lem:finite-gauss-magnitude; Corollary cor:local-gauss-integral-nonzero; Theorem thm:Lamprecht.,mod:delta-finitedefinition
mod:delta-errorterm,Local constants,First-Main-Lemma error term,LanglandsFirstMainLemma/Delta/ErrorTerm.lean,blueprint/src/nodes/Delta/ErrorTerm.tex,LanglandsFirstMainLemma.errorTerm,Definition eq:error-term and Lemma lem:twist-invariance.,mod:delta-firstmainstatement;mod:delta-nonvanishing
mod:delta-localconstantrealization,Local constants,Canonical local-constant realization,LanglandsFirstMainLemma/Delta/LocalConstantRealization.lean,blueprint/src/nodes/Delta/LocalConstantRealization.tex,LanglandsFirstMainLemma.localConstant,Definition of Delta; Lemma lem:gamma-independent; Corollary cor:local-gauss-integral-nonzero; final export contract.,mod:basic-characterconductorexistence;mod:delta-errorterm;mod:delta-integralfinitebridge
mod:finitefield-characterapi,Finite-field identities,Finite-field character and Gauss-sum API,LanglandsFirstMainLemma/FiniteField/CharacterAPI.lean,blueprint/src/nodes/FiniteField/CharacterAPI.tex,LanglandsFirstMainLemma.langlandsGaussSum,Lemma lem:finite-gauss-magnitude and Theorem thm:HD-lift.,mod:basic-finiteproducts;mod:localfield-residuefield
mod:finitefield-polynomialweights,Finite-field identities,Multiplicative polynomial weights,LanglandsFirstMainLemma/FiniteField/PolynomialWeights.lean,blueprint/src/nodes/FiniteField/PolynomialWeights.tex,LanglandsFirstMainLemma.MonicWeight,Proofs of Theorems thm:HD-lift and thm:Hasse-lift.,mod:finitefield-characterapi
mod:finitefield-eulerproduct,Finite-field identities,Reusable Euler-product power identity,LanglandsFirstMainLemma/FiniteField/EulerProduct.lean,blueprint/src/nodes/FiniteField/EulerProduct.tex,LanglandsFirstMainLemma.closedPoint_power_identity,Proofs of Theorems thm:HD-lift and thm:Hasse-lift.,mod:finitefield-polynomialweights
mod:finitefield-hassedavenportlift,Finite-field identities,Hasse-Davenport lift,LanglandsFirstMainLemma/FiniteField/HasseDavenportLift.lean,blueprint/src/nodes/FiniteField/HasseDavenportLift.tex,LanglandsFirstMainLemma.hasseDavenportLift,Theorem thm:HD-lift.,mod:finitefield-characterapi;mod:finitefield-eulerproduct;mod:localfield-extension
mod:finitefield-hdproductparametrization,Finite-field identities,Hasse-Davenport tuple parametrization,LanglandsFirstMainLemma/FiniteField/HDProductParametrization.lean,blueprint/src/nodes/FiniteField/HDProductParametrization.tex,LanglandsFirstMainLemma.hdProduct_survivingTuples,Proof of Theorem thm:HD-product.,mod:finitefield-characterapi;mod:basic-finiteproducts
mod:finitefield-hassedavenportproduct,Finite-field identities,Hasse-Davenport multiplication formula,LanglandsFirstMainLemma/FiniteField/HasseDavenportProduct.lean,blueprint/src/nodes/FiniteField/HasseDavenportProduct.tex,LanglandsFirstMainLemma.hasseDavenportProduct,Theorem thm:HD-product.,mod:finitefield-characterapi;mod:finitefield-hdproductparametrization;mod:basic-finiteproducts
mod:finitefield-quadraticphase,Finite-field identities,Quadratic phase,LanglandsFirstMainLemma/FiniteField/QuadraticPhase.lean,blueprint/src/nodes/FiniteField/QuadraticPhase.tex,LanglandsFirstMainLemma.quadraticPhase,Lemma lem:quadratic-phase-new and Lemma lem:finite-quadratic-magnitude.,mod:finitefield-characterapi;mod:basic-phase
mod:finitefield-q0powers,Finite-field identities,Powers of the basic quadratic phase,LanglandsFirstMainLemma/FiniteField/QuadraticPhasePowers.lean,blueprint/src/nodes/FiniteField/QuadraticPhasePowers.tex,LanglandsFirstMainLemma.quadraticPhase_powers,Lemma lem:q0-powers.,mod:finitefield-quadraticphase
mod:finitefield-hassefunction,Finite-field identities,Hasse functions,LanglandsFirstMainLemma/FiniteField/HasseFunction.lean,blueprint/src/nodes/FiniteField/HasseFunction.tex,LanglandsFirstMainLemma.HasseFunction,Theorem thm:Lamprecht and Theorem thm:Hasse-lift.,mod:finitefield-characterapi;mod:finitefield-quadraticphase
mod:finitefield-hassefunctionlift,Finite-field identities,Hasse-function lift,LanglandsFirstMainLemma/FiniteField/HasseFunctionLift.lean,blueprint/src/nodes/FiniteField/HasseFunctionLift.tex,LanglandsFirstMainLemma.hasseFunctionLift,"Theorem thm:Hasse-lift, with the unordered-pair convention for distinct embeddings.",mod:finitefield-hassefunction;mod:finitefield-eulerproduct;mod:localfield-extension
mod:finitefield-affinepencil,Finite-field identities,Affine pencil of quadratic phases,LanglandsFirstMainLemma/FiniteField/AffinePencil.lean,blueprint/src/nodes/FiniteField/AffinePencil.tex,LanglandsFirstMainLemma.affinePencil,Lemma lem:affine-pencil and Proposition prop:odd-phase-cancel.,mod:finitefield-quadraticphase;mod:basic-finiteproducts
mod:finitefield-artinschreier,Finite-field identities,Artin-Schreier phase,LanglandsFirstMainLemma/FiniteField/ArtinSchreier.lean,blueprint/src/nodes/FiniteField/ArtinSchreier.tex,LanglandsFirstMainLemma.artinSchreier_phase,Lemma lem:AS-phase-new and Lemma lem:AS-break-parity.,mod:finitefield-quadraticphase
mod:finitefield-chartworefinement,Finite-field identities,Normalized characteristic-two refinement,LanglandsFirstMainLemma/FiniteField/CharTwoRefinement.lean,blueprint/src/nodes/FiniteField/CharTwoRefinement.tex,LanglandsFirstMainLemma.CharTwoRefinement,Lemmas lem:normalized-refinement and lem:quadratic-correction-rule.,mod:finitefield-hassefunction;mod:finitefield-artinschreier
mod:ramification-lowergroups,Ramification and norm filtration,Lower ramification groups,LanglandsFirstMainLemma/Ramification/LowerGroups.lean,blueprint/src/nodes/Ramification/LowerGroups.tex,LanglandsFirstMainLemma.lowerRamificationGroup,Section Ramification notation and the cyclic-prime norm theorem.,mod:localfield-extension;mod:localfield-valuation
mod:ramification-primecyclicextension,Ramification and norm filtration,Prime cyclic extension package,LanglandsFirstMainLemma/Ramification/PrimeCyclicExtension.lean,blueprint/src/nodes/Ramification/PrimeCyclicExtension.tex,LanglandsFirstMainLemma.PrimeCyclicExtension,Theorem thm:first-main and Section Ramification notation and the cyclic-prime norm theorem.,mod:ramification-lowergroups
mod:ramification-primedegreedichotomy,Ramification and norm filtration,Prime-degree ramification dichotomy,LanglandsFirstMainLemma/Ramification/PrimeDegreeDichotomy.lean,blueprint/src/nodes/Ramification/PrimeDegreeDichotomy.tex,LanglandsFirstMainLemma.unramified_or_totallyRamified,Completion of the First Main Lemma and the case organization in the Introduction.,mod:ramification-primecyclicextension
mod:ramification-herbrand,Ramification and norm filtration,One-break Herbrand functions,LanglandsFirstMainLemma/Ramification/Herbrand.lean,blueprint/src/nodes/Ramification/Herbrand.tex,LanglandsFirstMainLemma.herbrand,Theorem thm:graded-norm and Theorem thm:norm-filtration.,mod:ramification-primecyclicextension
mod:ramification-different,Ramification and norm filtration,Different exponent,LanglandsFirstMainLemma/Ramification/Different.lean,blueprint/src/nodes/Ramification/Different.tex,LanglandsFirstMainLemma.differentExponent_eq,Theorem thm:graded-norm and Corollary cor:additive-conductor.,mod:ramification-primecyclicextension;mod:ramification-lowergroups
mod:ramification-traceideals,Ramification and norm filtration,Trace-lattice formulas,LanglandsFirstMainLemma/Ramification/TraceIdeals.lean,blueprint/src/nodes/Ramification/TraceIdeals.tex,LanglandsFirstMainLemma.traceDual_lattice,"Theorem thm:graded-norm, Corollary cor:additive-conductor, and Lemma lem:quadratic-graded-trace.",mod:ramification-different;mod:localfield-lattices;mod:localfield-extension
mod:ramification-symmetricbounds,Ramification and norm filtration,Symmetric-function valuation bounds,LanglandsFirstMainLemma/Ramification/SymmetricBounds.lean,blueprint/src/nodes/Ramification/SymmetricBounds.tex,LanglandsFirstMainLemma.powerSum_bound,Lemma lem:wild-symmetric-bound and Proposition prop:X-depth.,mod:ramification-primecyclicextension;mod:localfield-extension;mod:localfield-valuation;mod:basic-finiteproducts
mod:ramification-normabovebreak,Ramification and norm filtration,Norm filtration above the break,LanglandsFirstMainLemma/Ramification/NormAboveBreak.lean,blueprint/src/nodes/Ramification/NormAboveBreak.tex,LanglandsFirstMainLemma.norm_graded_surjective_above_break,Theorems thm:graded-norm and thm:norm-filtration; Corollary cor:wild-norm-truncation.,mod:ramification-traceideals;mod:ramification-symmetricbounds;mod:localfield-successivelifting
mod:ramification-normbelowbreak,Ramification and norm filtration,Norm filtration below and at the break,LanglandsFirstMainLemma/Ramification/NormBelowBreak.lean,blueprint/src/nodes/Ramification/NormBelowBreak.tex,LanglandsFirstMainLemma.gradedNorm_kernel,Theorems thm:graded-norm and thm:norm-filtration.,mod:ramification-lowergroups;mod:ramification-herbrand;mod:localfield-successivelifting
mod:ramification-primecyclicpreparation,Ramification and norm filtration,Ramified prime-cyclic preparation,LanglandsFirstMainLemma/Ramification/PrimeCyclicPreparation.lean,blueprint/src/nodes/Ramification/PrimeCyclicPreparation.tex,LanglandsFirstMainLemma.primeCyclicPreparation,"The one-break paragraph preceding equation eq:one-break-new, the tame/wild split in the proof of Theorem thm:norm-filtration, and Section sec:first-main-completion.",mod:localfield-monogenicuniformizer;mod:ramification-primecyclicextension;mod:ramification-primedegreedichotomy;mod:ramification-lowergroups;mod:ramification-normbelowbreak
mod:ramification-normfiltration,Ramification and norm filtration,Cyclic-prime norm filtration theorem,LanglandsFirstMainLemma/Ramification/NormFiltration.lean,blueprint/src/nodes/Ramification/NormFiltration.tex,LanglandsFirstMainLemma.cyclicPrimeNormFiltration,Theorems thm:graded-norm and thm:norm-filtration.,mod:ramification-different;mod:ramification-traceideals;mod:ramification-normabovebreak;mod:ramification-normbelowbreak
mod:ramification-normrepresentatives,Ramification and norm filtration,Norm representatives at subcritical precision,LanglandsFirstMainLemma/Ramification/NormRepresentatives.lean,blueprint/src/nodes/Ramification/NormRepresentatives.tex,LanglandsFirstMainLemma.normRepresentative_subcritical,Lemma lem:norm-stationary-representatives.,mod:ramification-normfiltration;mod:localfield-lattices
mod:ramification-pullbackconductors,Ramification and norm filtration,Conductors under trace and norm,LanglandsFirstMainLemma/Ramification/PullbackConductors.lean,blueprint/src/nodes/Ramification/PullbackConductors.tex,LanglandsFirstMainLemma.additiveConductor_compTrace,Corollary cor:additive-conductor and Proposition prop:pullback-conductor.,mod:ramification-normfiltration;mod:basic-characterconductors
mod:ramification-normcharacters,Ramification and norm filtration,Characters of the norm quotient,LanglandsFirstMainLemma/Ramification/NormCharacters.lean,blueprint/src/nodes/Ramification/NormCharacters.tex,LanglandsFirstMainLemma.normQuotient_card,Corollary cor:norm-characters and Lemma lem:norm-character-conversion.,mod:ramification-normfiltration;mod:delta-firstmainstatement
mod:ramification-unramifiedcompatibility,Ramification and norm filtration,"Unramified norm, trace, and conductor compatibility",LanglandsFirstMainLemma/Ramification/UnramifiedCompatibility.lean,blueprint/src/nodes/Ramification/UnramifiedCompatibility.tex,LanglandsFirstMainLemma.unramified_residue_trace_norm,Lemma lem:unramified-compatibility and Proposition prop:unramified-new.,mod:localfield-extension;mod:localfield-residuefield;mod:basic-characterconductors
mod:lamprecht-finiteduality,Lamprecht stationary phase,Finite stationary-phase duality,LanglandsFirstMainLemma/Lamprecht/FiniteDuality.lean,blueprint/src/nodes/Lamprecht/FiniteDuality.tex,LanglandsFirstMainLemma.lamprechtPerfectPairing,Lemma lem:finite-duality.,mod:localfield-finitequotients;mod:basic-characterconductors
mod:lamprecht-stationaryclass,Lamprecht stationary phase,Stationary numerator class at chosen depth,LanglandsFirstMainLemma/Lamprecht/StationaryClass.lean,blueprint/src/nodes/Lamprecht/StationaryClass.tex,LanglandsFirstMainLemma.stationaryNumeratorClass,Lemma lem:stationary-class-existence.,mod:lamprecht-finiteduality;mod:basic-characterconductors;mod:localfield-lattices
mod:lamprecht-stationaryclasscalculus,Lamprecht stationary phase,Stationary-class calculus,LanglandsFirstMainLemma/Lamprecht/StationaryClassCalculus.lean,blueprint/src/nodes/Lamprecht/StationaryClassCalculus.tex,LanglandsFirstMainLemma.stationaryClassCalculus,Lemma lem:stationary-class-calculus.,mod:lamprecht-stationaryclass;mod:delta-elementary
mod:lamprecht-criticalpolarcoordinate,Lamprecht stationary phase,Characteristic-independent critical polar coordinate,LanglandsFirstMainLemma/Lamprecht/CriticalPolarCoordinate.lean,blueprint/src/nodes/Lamprecht/CriticalPolarCoordinate.tex,LanglandsFirstMainLemma.criticalPolarCoefficient,Lemma lem:critical-polar-coordinate.,mod:lamprecht-stationaryclasscalculus;mod:finitefield-quadraticphase;mod:delta-residueformula
mod:lamprecht-formula,Lamprecht stationary phase,Lamprecht formula with stationary classes,LanglandsFirstMainLemma/Lamprecht/Formula.lean,blueprint/src/nodes/Lamprecht/Formula.tex,LanglandsFirstMainLemma.StationaryParameter,Lemmas lem:stationary-class-existence and lem:stationary-class-calculus; Theorem thm:Lamprecht; Lemma lem:complete-stationary-invariant.,mod:lamprecht-stationaryclasscalculus;mod:delta-finitedefinition;mod:finitefield-quadraticphase;mod:finitefield-hassefunction
mod:lamprecht-stabletwist,Lamprecht stationary phase,Exact stable twist,LanglandsFirstMainLemma/Lamprecht/StableTwist.lean,blueprint/src/nodes/Lamprecht/StableTwist.tex,LanglandsFirstMainLemma.stableTwist,Lemma lem:stable-twist-new.,mod:lamprecht-formula;mod:lamprecht-stationaryclasscalculus;mod:delta-elementary
mod:parameters-normpolynomial,Stationary parameters under norm,Truncated norm map at stationary depth,LanglandsFirstMainLemma/Parameters/NormPolynomial.lean,blueprint/src/nodes/Parameters/NormPolynomial.tex,LanglandsFirstMainLemma.normPolynomial,Lemma lem:stationary-depth-norm and the truncated norm construction preceding Lemma lem:truncated-norm-adjoint.,mod:localfield-extension;mod:ramification-symmetricbounds;mod:lamprecht-stationaryclass
mod:parameters-adjoint,Stationary parameters under norm,Denominator-sensitive adjoint stationary map,LanglandsFirstMainLemma/Parameters/Adjoint.lean,blueprint/src/nodes/Parameters/Adjoint.tex,LanglandsFirstMainLemma.normPolynomialAdjoint,Lemma lem:truncated-norm-adjoint.,mod:parameters-normpolynomial;mod:lamprecht-finiteduality
mod:parameters-stationaryclassundernorm,Stationary parameters under norm,Stationary class under norm pullback,LanglandsFirstMainLemma/Parameters/StationaryClassUnderNorm.lean,blueprint/src/nodes/Parameters/StationaryClassUnderNorm.tex,LanglandsFirstMainLemma.stationaryClass_compNorm,Corollary cor:stationary-class-under-norm.,mod:parameters-adjoint;mod:lamprecht-stationaryclass;mod:lamprecht-formula
mod:parameters-minimalorbitstationary,Stationary parameters under norm,Minimal-orbit conductors and leading stationary classes,LanglandsFirstMainLemma/Parameters/MinimalOrbitStationary.lean,blueprint/src/nodes/Parameters/MinimalOrbitStationary.tex,LanglandsFirstMainLemma.minimalOrbit_stationary,Lemma lem:minimal-orbit-stationary.,mod:delta-errorterm;mod:lamprecht-stationaryclasscalculus;mod:ramification-normcharacters;mod:ramification-pullbackconductors
mod:parameters-highunramifiedstable,Stationary parameters under norm,High stationary classes: unramified and stable cases,LanglandsFirstMainLemma/Parameters/HighUnramifiedStable.lean,blueprint/src/nodes/Parameters/HighUnramifiedStable.tex,LanglandsFirstMainLemma.highParameter_unramified,"Proposition prop:high-parameter-table, parts (a), (b), and tame quadratic part.",mod:parameters-stationaryclassundernorm;mod:ramification-pullbackconductors
mod:parameters-highintermediate,Stationary parameters under norm,High stationary classes: odd non-stable range,LanglandsFirstMainLemma/Parameters/HighIntermediate.lean,blueprint/src/nodes/Parameters/HighIntermediate.tex,LanglandsFirstMainLemma.highParameter_intermediate,"Proposition prop:high-parameter-table, part (c).",mod:parameters-stationaryclassundernorm;mod:parameters-minimalorbitstationary;mod:ramification-normrepresentatives;mod:ramification-normcharacters
mod:parameters-highquadratic,Stationary parameters under norm,High stationary classes: wild quadratic case,LanglandsFirstMainLemma/Parameters/HighQuadratic.lean,blueprint/src/nodes/Parameters/HighQuadratic.tex,LanglandsFirstMainLemma.highParameter_wildQuadratic,Propositions prop:high-parameter-table and prop:wild-quadratic-high-parameters.,mod:parameters-stationaryclassundernorm;mod:parameters-minimalorbitstationary;mod:ramification-normrepresentatives;mod:finitefield-chartworefinement
mod:parameters-highproduct,Stationary parameters under norm,High stationary-class norm product,LanglandsFirstMainLemma/Parameters/HighProduct.lean,blueprint/src/nodes/Parameters/HighProduct.tex,LanglandsFirstMainLemma.highParameter_product,Proposition prop:high-parameter-table and its high-product congruence.,mod:parameters-highintermediate;mod:parameters-highquadratic;mod:parameters-normpolynomial
mod:parameters-high,Stationary parameters under norm,Public high-conductor stationary-class table,LanglandsFirstMainLemma/Parameters/High.lean,blueprint/src/nodes/Parameters/High.tex,LanglandsFirstMainLemma.highConductorParameterTable,Propositions prop:high-parameter-table and prop:wild-quadratic-high-parameters.,mod:parameters-highunramifiedstable;mod:parameters-highintermediate;mod:parameters-highquadratic;mod:parameters-highproduct
mod:parameters-low,Stationary parameters under norm,Low-conductor stationary-class table,LanglandsFirstMainLemma/Parameters/Low.lean,blueprint/src/nodes/Parameters/Low.tex,LanglandsFirstMainLemma.lowConductorParameterTable,Proposition prop:low-parameter-table.,mod:parameters-stationaryclassundernorm;mod:parameters-minimalorbitstationary;mod:ramification-normrepresentatives;mod:ramification-normcharacters
mod:parameters-phasereduction,Stationary parameters under norm,Exact reduction to residual phases,LanglandsFirstMainLemma/Parameters/PhaseReduction.lean,blueprint/src/nodes/Parameters/PhaseReduction.tex,LanglandsFirstMainLemma.PhaseReductionResult,Lamprecht formula and the high/low stationary-class tables; exact assemblies prop:exact-odd-assembly and prop:quadratic-complete-assembly.,mod:parameters-high;mod:parameters-low;mod:parameters-minimalorbitstationary;mod:lamprecht-formula;mod:delta-errorterm
mod:parameters-ramifiedhassecomparison,Stationary parameters under norm,Ramified Hasse-phase comparison,LanglandsFirstMainLemma/Parameters/RamifiedHasseComparison.lean,blueprint/src/nodes/Parameters/RamifiedHasseComparison.tex,LanglandsFirstMainLemma.ramifiedHasseComparison,Theorem thm:ramified-Hasse-comparison.,mod:parameters-phasereduction;mod:parameters-stationaryclassundernorm;mod:finitefield-hassefunctionlift;mod:finitefield-affinepencil;mod:finitefield-artinschreier
mod:parameters-ramifiedhasselocalgeometry,Stationary parameters under norm,Ramified Hasse local geometry,LanglandsFirstMainLemma/Parameters/RamifiedHasseLocalGeometry.lean,blueprint/src/nodes/Parameters/RamifiedHasseLocalGeometry.tex,LanglandsFirstMainLemma.ramifiedHasseLocalGeometry,Theorem thm:ramified-Hasse-comparison local norm-trace geometry.,mod:ramification-primecyclicpreparation;mod:parameters-high;mod:parameters-ramifiedhassecomparison;mod:ramification-normabovebreak;mod:ramification-normbelowbreak;mod:ramification-symmetricbounds;mod:ramification-traceideals;mod:ramification-lowergroups
mod:parameters-ramifiedhassepreparation,Stationary parameters under norm,Ramified Hasse preparation,LanglandsFirstMainLemma/Parameters/RamifiedHassePreparation.lean,blueprint/src/nodes/Parameters/RamifiedHassePreparation.tex,LanglandsFirstMainLemma.ramifiedHassePreparation,Theorem thm:ramified-Hasse-comparison actual finite normal forms and comparison data.,mod:parameters-ramifiedhasselocalgeometry;mod:parameters-ramifiedhassecomparison;mod:parameters-phasereduction;mod:parameters-high
mod:cases-unramified,"Unramified, tame, and stable cases",Unramified case,LanglandsFirstMainLemma/Cases/Unramified.lean,blueprint/src/nodes/Cases/Unramified.tex,LanglandsFirstMainLemma.firstMain_unramified,Proposition prop:unramified-new.,mod:ramification-unramifiedcompatibility;mod:delta-residueformula;mod:finitefield-hassedavenportlift;mod:finitefield-hassefunctionlift;mod:lamprecht-formula;mod:parameters-highunramifiedstable;mod:ramification-normcharacters;mod:delta-firstmainstatement
mod:cases-tameodd,"Unramified, tame, and stable cases",Tamely ramified odd degree,LanglandsFirstMainLemma/Cases/TameOdd.lean,blueprint/src/nodes/Cases/TameOdd.tex,LanglandsFirstMainLemma.firstMain_tameOdd,Proposition prop:tame-odd-new.,mod:parameters-ramifiedhassecomparison;mod:finitefield-hassedavenportproduct;mod:lamprecht-stabletwist
mod:cases-tameoddpreparation,"Unramified, tame, and stable cases",Tame odd preparation,LanglandsFirstMainLemma/Cases/TameOddPreparation.lean,blueprint/src/nodes/Cases/TameOddPreparation.tex,LanglandsFirstMainLemma.firstMain_tameOdd_of_isDeltaFinite,Proposition prop:tame-odd-new and Section sec:first-main-completion.,mod:ramification-primecyclicpreparation;mod:parameters-minimalorbitstationary;mod:parameters-ramifiedhassepreparation;mod:cases-tameodd;mod:delta-errorterm
